gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
ESPORTSTMNT01/1304079,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304079?gameHash=8339c23d8d925f8b,LCK,2020,Spring,0,2/8/2020 8:44,2,10.02,1,Blue,top,Nuguri,DAMWON Gaming,Aatrox,Pantheon,Rumble,Qiyana,Renekton,Kled,1684,1,5,2,7,24,8,0,0,0,0,1,0,1,0,0.8551,1.1401,,,,,,,,,,,,,,,,,,,,,,,,0,0,17177,612.0071,0.245892,1118.8005,856.6746,14,0.4988,4,0.1425,4,41,1.4608,12841,9130,325.2969,0.23215,12250,,243,211,32,5,12,8.658,3557,4635,76,3343,4703,72,214,-68,4,6189,7843,122,4781,6972,108,1408,871,14
ESPORTSTMNT01/1304079,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304079?gameHash=8339c23d8d925f8b,LCK,2020,Spring,0,2/8/2020 8:44,2,10.02,2,Blue,jng,Canyon,DAMWON Gaming,Lee Sin,Pantheon,Rumble,Qiyana,Renekton,Kled,1684,1,6,2,8,24,8,1,1,0,0,1,1,0,0,0.8551,1.1401,,,,,,,,,,,,,,,,,,,,,,,,1,0,11672,415.867,0.167087,993.0285,1031.7221,19,0.677,12,0.4276,10,44,1.5677,10829,7118,253.6105,0.180991,9725,,167,37,130,83,18,5.9501,3324,3002,55,2638,2695,51,686,307,4,5197,5088,88,3900,4333,74,1297,755,14
ESPORTSTMNT01/1304079,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304079?gameHash=8339c23d8d925f8b,LCK,2020,Spring,0,2/8/2020 8:44,2,10.02,3,Blue,mid,ShowMaker,DAMWON Gaming,LeBlanc,Pantheon,Rumble,Qiyana,Renekton,Kled,1684,1,5,0,10,24,8,1,0,0,0,0,0,0,0,0.8551,1.1401,,,,,,,,,,,,,,,,,,,,,,,,0,0,21882,779.6437,0.313244,536.6508,288.0285,15,0.5344,5,0.1781,6,30,1.0689,13361,9650,343.8242,0.245372,11100,,284,260,24,12,12,10.1188,3362,4921,96,3219,4664,81,143,257,15,5763,7552,147,4776,7195,126,987,357,21
ESPORTSTMNT01/1304079,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304079?gameHash=8339c23d8d925f8b,LCK,2020,Spring,0,2/8/2020 8:44,2,10.02,4,Blue,bot,Nuclear,DAMWON Gaming,Aphelios,Pantheon,Rumble,Qiyana,Renekton,Kled,1684,1,8,1,7,24,8,2,1,0,0,0,0,0,0,0.8551,1.1401,,,,,,,,,,,,,,,,,,,,,,,,0,0,13485,480.4632,0.19304,184.8812,270.2494,13,0.4632,12,0.4276,5,40,1.4252,13226,9515,339.0143,0.241939,10525,,273,253,20,16,0,9.7268,3282,3076,79,3499,3072,82,-217,4,-3,4972,5514,129,5347,5054,126,-375,460,3
ESPORTSTMNT01/1304079,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1304079?gameHash=8339c23d8d925f8b,LCK,2020,Spring,0,2/8/2020 8:44,2,10.02,5,Blue,sup,BeryL,DAMWON Gaming,Nautilus,Pantheon,Rumble,Qiyana,Renekton,Kled,1684,1,0,3,13,24,8,0,0,0,0,0,0,0,0,0.8551,1.1401,,,,,,,,,,,,,,,,,,,,,,,,0,0,5640,200.9501,0.0807375,410.5938,588.8124,38,1.3539,20,0.7126,13,85,3.0285,7626,3915,139.4893,0.0995479,6525,,44,44,0,0,0,1.5677,2218,2939,16,2240,3168,16,-22,-229,0,3549,4441,26,3320,4325,28,229,116,-2
ESPORTSTMNT01/1306047,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1306047?gameHash=3ec6080ed834fb7f,LCK,2020,Spring,0,2/14/2020 5:50,1,10.02,1,Blue,top,Nuguri,DAMWON Gaming,Gnar,Pantheon,Zoe,Ornn,Jarvan IV,Elise,1948,0,0,3,0,0,7,0,0,0,0,0,0,0,1,0,0.2156,,,,,,,,,,,,,,,,,,,,,,,,0,1,15675,482.8029,0.333482,653.193,444.7331,15,0.462,8,0.2464,5,30,0.924,11241,6991,215.3285,0.249354,10800,,295,290,5,2,0,9.0862,3516,5102,103,3370,5065,93,146,37,10,5187,7523,153,5256,7838,139,-69,-315,14
ESPORTSTMNT01/1306047,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1306047?gameHash=3ec6080ed834fb7f,LCK,2020,Spring,0,2/14/2020 5:50,1,10.02,2,Blue,jng,Canyon,DAMWON Gaming,Ivern,Pantheon,Zoe,Ornn,Jarvan IV,Elise,1948,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0.2156,,,,,,,,,,,,,,,,,,,,,,,,0,0,3768,116.0575,0.0801634,142.4538,168.8193,14,0.4312,17,0.5236,12,59,1.8172,8920,4670,143.8398,0.166574,8600,,177,18,159,123,0,5.4517,3060,3035,64,3012,3022,62,48,13,2,4624,5112,103,4580,5138,96,44,-26,7
ESPORTSTMNT01/1306047,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1306047?gameHash=3ec6080ed834fb7f,LCK,2020,Spring,0,2/14/2020 5:50,1,10.02,3,Blue,mid,ShowMaker,DAMWON Gaming,Orianna,Pantheon,Zoe,Ornn,Jarvan IV,Elise,1948,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0.2156,,,,,,,,,,,,,,,,,,,,,,,,0,0,11986,369.1786,0.255,227.9877,221.3347,18,0.5544,6,0.1848,7,47,1.4476,10988,6738,207.5359,0.24033,10675,,284,282,2,2,0,8.7474,3415,4970,96,3494,4899,100,-79,71,-4,5222,7226,145,5622,7565,145,-400,-339,0
ESPORTSTMNT01/1306047,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1306047?gameHash=3ec6080ed834fb7f,LCK,2020,Spring,0,2/14/2020 5:50,1,10.02,4,Blue,bot,Nuclear,DAMWON Gaming,Aphelios,Pantheon,Zoe,Ornn,Jarvan IV,Elise,1948,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0.2156,,,,,,,,,,,,,,,,,,,,,,,,0,0,12421,382.577,0.264254,159.5483,169.4045,15,0.462,12,0.3696,4,34,1.0472,11716,7466,229.9589,0.266295,11300,,309,297,12,12,0,9.5175,3363,3301,92,3432,3148,100,-69,153,-8,5002,5157,133,5163,5209,154,-161,-52,-21
ESPORTSTMNT01/1306047,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1306047?gameHash=3ec6080ed834fb7f,LCK,2020,Spring,0,2/14/2020 5:50,1,10.02,5,Blue,sup,Hoit,DAMWON Gaming,Nautilus,Pantheon,Zoe,Ornn,Jarvan IV,Elise,1948,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0.2156,,,,,,,,,,,,,,,,,,,,,,,,0,0,3154,97.1458,0.0671007,308.9014,652.2074,54,1.6632,12,0.3696,21,89,2.7413,6421,2171,66.8686,0.0774466,6375,,31,31,0,0,0,0.9548,2009,2666,11,1977,2726,11,32,-60,0,3129,3572,19,2989,3752,19,140,-180,0
