gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
5956-7315,complete,https://lpl.qq.com/es/stats.shtml?bmid=5956,LPL,2020,Spring,0,3/10/2020 13:20,3,10.04,1,Blue,top,Biubiu,Suning,Aatrox,Olaf,Lee Sin,Ornn,Tahm Kench,Braum,2338,0,0,2,1,4,14,0,0,0,0,0,0,0,0,0.1027,0.4619,,,,,,,,,,,,,,,,,,,,,,,,,,12461,319.7861,0.256542,790.2395,847.2113,12,0.308,3,0.077,3,33,0.8469,14781,9736,249.8546,0.257288,14375,,381,319,62,19,16,9.7776,3464,5353,96,2964,4701,74,500,652,22,6127,8527,157,5111,7851,130,1016,676,27
5956-7315,complete,https://lpl.qq.com/es/stats.shtml?bmid=5956,LPL,2020,Spring,0,3/10/2020 13:20,3,10.04,2,Blue,jng,SofM,Suning,Elise,Olaf,Lee Sin,Ornn,Tahm Kench,Braum,2338,0,2,2,1,4,14,0,0,0,0,0,0,0,0,0.1027,0.4619,,,,,,,,,,,,,,,,,,,,,,,,,,6980,179.1275,0.143701,489.5979,289.8631,66,1.6938,36,0.9239,17,128,3.2849,11431,6386,163.8837,0.168758,10925,,196,61,135,114,0,5.0299,3217,3008,55,2749,2505,50,468,503,5,5099,4626,76,4062,4315,70,1037,311,6
5956-7315,complete,https://lpl.qq.com/es/stats.shtml?bmid=5956,LPL,2020,Spring,0,3/10/2020 13:20,3,10.04,3,Blue,mid,Angel,Suning,Azir,Olaf,Lee Sin,Ornn,Tahm Kench,Braum,2338,0,2,3,1,4,14,0,0,0,0,0,0,0,0,0.1027,0.4619,,,,,,,,,,,,,,,,,,,,,,,,,,13808,354.3541,0.284273,396.775,313.4987,20,0.5133,12,0.308,8,42,1.0778,14443,9398,241.1805,0.248356,14700,,358,323,35,23,12,9.1873,3631,4830,90,3244,4557,88,387,273,2,5906,8344,153,5013,7045,139,893,1299,14
5956-7315,complete,https://lpl.qq.com/es/stats.shtml?bmid=5956,LPL,2020,Spring,0,3/10/2020 13:20,3,10.04,4,Blue,bot,huanfeng,Suning,Miss Fortune,Olaf,Lee Sin,Ornn,Tahm Kench,Braum,2338,0,0,3,2,4,14,0,0,0,0,0,0,0,1,0.1027,0.4619,,,,,,,,,,,,,,,,,,,,,,,,,,12847,329.692,0.264488,257.8358,424.722,16,0.4106,11,0.2823,5,40,1.0265,15302,10257,263.225,0.271056,15025,,406,357,49,37,0,10.4192,3025,2871,69,3833,3469,96,-808,-598,-27,5028,5544,129,5963,6017,148,-935,-473,-19
5956-7315,complete,https://lpl.qq.com/es/stats.shtml?bmid=5956,LPL,2020,Spring,0,3/10/2020 13:20,3,10.04,5,Blue,sup,SwordArt,Suning,Nautilus,Olaf,Lee Sin,Ornn,Tahm Kench,Braum,2338,0,0,4,1,4,14,0,0,0,0,0,0,0,0,0.1027,0.4619,,,,,,,,,,,,,,,,,,,,,,,,,,2477,63.5672,0.0509954,375.0128,774.0975,69,1.7707,4,0.1027,21,79,2.0274,7109,2064,52.9683,0.0545417,6825,,37,33,4,4,0,0.9495,2122,2509,16,2191,2497,15,-69,12,1,3089,3294,21,3308,3878,23,-219,-584,-2
5962-7328,complete,https://lpl.qq.com/es/stats.shtml?bmid=5962,LPL,2020,Spring,0,3/12/2020 11:18,1,10.04,6,Red,top,Biubiu,Suning,Janna,Sett,Aphelios,Rek'Sai,Trundle,Jarvan IV,1976,1,0,2,17,18,5,0,0,0,0,0,0,0,0,0.5466,0.668,,,,,,,,,,,,,,,,,,,,,,,,,,7615,231.2247,0.115297,296.0526,176.9636,38,1.1538,16,0.4858,11,79,2.3988,9304,4997,151.7308,0.131621,8075,,73,73,0,0,0,2.2166,2765,3200,25,3008,4385,72,-243,-1185,-47,4324,4976,44,4790,6978,123,-466,-2002,-79
5962-7328,complete,https://lpl.qq.com/es/stats.shtml?bmid=5962,LPL,2020,Spring,0,3/12/2020 11:18,1,10.04,7,Red,jng,SofM,Suning,Olaf,Sett,Aphelios,Rek'Sai,Trundle,Jarvan IV,1976,1,3,1,8,18,5,0,0,0,0,0,0,0,0,0.5466,0.668,,,,,,,,,,,,,,,,,,,,,,,,,,8759,265.9615,0.132618,847.2874,807.6012,16,0.4858,20,0.6073,17,68,2.0648,12043,7736,234.8988,0.203761,11150,,213,55,158,87,17,6.4676,3274,3860,78,2776,2529,48,498,1331,30,5060,5775,117,4133,4114,78,927,1661,39
5962-7328,complete,https://lpl.qq.com/es/stats.shtml?bmid=5962,LPL,2020,Spring,0,3/12/2020 11:18,1,10.04,8,Red,mid,Angel,Suning,Lissandra,Sett,Aphelios,Rek'Sai,Trundle,Jarvan IV,1976,1,0,0,14,18,5,0,0,0,0,0,0,0,0,0.5466,0.668,,,,,,,,,,,,,,,,,,,,,,,,,,12922,392.3684,0.195649,426.3158,398.8664,11,0.334,8,0.2429,7,30,0.9109,11713,7406,224.8785,0.19507,9625,,265,259,6,0,5,8.0466,3246,4490,90,3139,4283,79,107,207,11,5145,7106,142,5086,7070,134,59,36,8
5962-7328,complete,https://lpl.qq.com/es/stats.shtml?bmid=5962,LPL,2020,Spring,0,3/12/2020 11:18,1,10.04,9,Red,bot,huanfeng,Suning,Miss Fortune,Sett,Aphelios,Rek'Sai,Trundle,Jarvan IV,1976,1,14,1,4,18,5,3,1,1,1,0,0,0,0,0.5466,0.668,,,,,,,,,,,,,,,,,,,,,,,,,,31064,943.2389,0.470332,232.6215,518.502,14,0.4251,17,0.5162,4,43,1.3057,18227,13920,422.6721,0.366636,16300,,357,310,47,35,8,10.8401,3891,3565,92,3338,3024,74,553,541,18,6395,5839,152,5210,5594,138,1185,245,14
5962-7328,complete,https://lpl.qq.com/es/stats.shtml?bmid=5962,LPL,2020,Spring,0,3/12/2020 11:18,1,10.04,10,Red,sup,SwordArt,Suning,Braum,Sett,Aphelios,Rek'Sai,Trundle,Jarvan IV,1976,1,1,1,16,18,5,0,0,0,0,0,0,0,1,0.5466,0.668,,,,,,,,,,,,,,,,,,,,,,,,,,5687,172.6822,0.0861053,473.502,754.2206,44,1.336,9,0.2733,13,79,2.3988,8214,3907,118.6336,0.102912,7525,,31,31,0,0,0,0.9413,2176,2296,14,1962,2052,12,214,244,2,3704,3650,24,3200,3482,27,504,168,-3
